date,datetime,open,high,low,close,volume
2025-10-10 12:00:00+00:00,2025-10-10 12:00:00+00:00,221.14,224.42,209.0,210.7,460252.04268
2025-10-10 16:00:00+00:00,2025-10-10 16:00:00+00:00,210.67,213.0,203.39,205.36,311670.114961
2025-10-10 20:00:00+00:00,2025-10-10 20:00:00+00:00,205.33,207.78,144.82,187.79,2501217.751703
2025-10-11 00:00:00+00:00,2025-10-11 00:00:00+00:00,187.77,190.66,181.9,184.36,831669.837159
2025-10-11 04:00:00+00:00,2025-10-11 04:00:00+00:00,184.35,186.64,180.0,182.78,452583.938707
2025-10-11 08:00:00+00:00,2025-10-11 08:00:00+00:00,182.77,188.27,181.69,183.75,373753.663092
2025-10-11 12:00:00+00:00,2025-10-11 12:00:00+00:00,183.73,185.09,180.72,183.73,288996.229745
2025-10-11 16:00:00+00:00,2025-10-11 16:00:00+00:00,183.74,184.71,176.56,177.55,265848.146767
2025-10-11 20:00:00+00:00,2025-10-11 20:00:00+00:00,177.55,178.76,172.57,177.62,285048.940294
2025-10-12 00:00:00+00:00,2025-10-12 00:00:00+00:00,177.64,178.48,173.01,177.04,263367.331434
2025-10-12 04:00:00+00:00,2025-10-12 04:00:00+00:00,177.04,182.98,176.63,182.55,406055.506938
2025-10-12 08:00:00+00:00,2025-10-12 08:00:00+00:00,182.54,182.77,180.3,180.97,177785.469707
2025-10-12 12:00:00+00:00,2025-10-12 12:00:00+00:00,180.96,191.79,178.23,191.22,650267.508247
2025-10-12 16:00:00+00:00,2025-10-12 16:00:00+00:00,191.23,196.58,191.21,195.86,443413.925898
2025-10-12 20:00:00+00:00,2025-10-12 20:00:00+00:00,195.86,199.0,193.12,197.02,311056.801607
2025-10-13 00:00:00+00:00,2025-10-13 00:00:00+00:00,197.03,199.99,194.35,194.83,268872.128905
2025-10-13 04:00:00+00:00,2025-10-13 04:00:00+00:00,194.83,199.54,192.96,196.84,254769.995395
2025-10-13 08:00:00+00:00,2025-10-13 08:00:00+00:00,196.84,198.69,190.0,192.59,286702.121521
2025-10-13 12:00:00+00:00,2025-10-13 12:00:00+00:00,192.58,197.67,191.34,196.42,457580.388948
2025-10-13 16:00:00+00:00,2025-10-13 16:00:00+00:00,196.43,208.78,196.26,207.11,522070.569728
2025-10-13 20:00:00+00:00,2025-10-13 20:00:00+00:00,207.12,209.31,206.81,208.7,252267.390108
2025-10-14 00:00:00+00:00,2025-10-14 00:00:00+00:00,208.71,211.3,204.9,205.72,333496.34415
2025-10-14 04:00:00+00:00,2025-10-14 04:00:00+00:00,205.73,205.91,192.0,194.49,743960.265183
2025-10-14 08:00:00+00:00,2025-10-14 08:00:00+00:00,194.47,197.58,191.07,195.35,378157.118167
2025-10-14 12:00:00+00:00,2025-10-14 12:00:00+00:00,195.36,202.65,191.55,202.18,515113.787213
2025-10-14 16:00:00+00:00,2025-10-14 16:00:00+00:00,202.22,206.47,196.8,198.49,827373.773142
2025-10-14 20:00:00+00:00,2025-10-14 20:00:00+00:00,198.55,203.47,198.16,202.47,146234.755862
2025-10-15 00:00:00+00:00,2025-10-15 00:00:00+00:00,202.47,205.85,200.94,201.67,212704.363993
2025-10-15 04:00:00+00:00,2025-10-15 04:00:00+00:00,201.68,205.37,200.51,204.67,195298.30006
2025-10-15 08:00:00+00:00,2025-10-15 08:00:00+00:00,204.66,208.91,202.06,202.61,285126.944105
2025-10-15 12:00:00+00:00,2025-10-15 12:00:00+00:00,202.6,204.93,196.22,197.17,440202.480333
2025-10-15 16:00:00+00:00,2025-10-15 16:00:00+00:00,197.18,198.8,194.2,194.82,223641.110648
2025-10-15 20:00:00+00:00,2025-10-15 20:00:00+00:00,194.83,196.59,192.05,193.85,168725.326268
2025-10-16 00:00:00+00:00,2025-10-16 00:00:00+00:00,193.85,196.18,193.15,193.63,138199.801078
2025-10-16 04:00:00+00:00,2025-10-16 04:00:00+00:00,193.64,195.6,191.39,192.89,163938.32035
2025-10-16 08:00:00+00:00,2025-10-16 08:00:00+00:00,192.9,197.18,186.26,196.81,421709.498991
2025-10-16 12:00:00+00:00,2025-10-16 12:00:00+00:00,196.82,198.41,186.55,187.6,519836.106361
2025-10-16 16:00:00+00:00,2025-10-16 16:00:00+00:00,187.62,192.3,183.63,185.05,502852.235009
2025-10-16 20:00:00+00:00,2025-10-16 20:00:00+00:00,185.05,186.09,182.02,184.85,223796.621979
2025-10-17 00:00:00+00:00,2025-10-17 00:00:00+00:00,184.85,187.53,184.28,187.06,129212.245105
2025-10-17 04:00:00+00:00,2025-10-17 04:00:00+00:00,187.06,187.46,177.38,177.78,363366.202313
2025-10-17 08:00:00+00:00,2025-10-17 08:00:00+00:00,177.78,182.68,174.07,181.46,517217.54185
2025-10-17 12:00:00+00:00,2025-10-17 12:00:00+00:00,181.45,182.82,176.3,182.73,395278.746267
2025-10-17 16:00:00+00:00,2025-10-17 16:00:00+00:00,182.76,185.4,181.44,181.95,246421.038091
2025-10-17 20:00:00+00:00,2025-10-17 20:00:00+00:00,181.97,186.18,181.47,181.97,125610.507964
2025-10-18 00:00:00+00:00,2025-10-18 00:00:00+00:00,181.97,185.57,181.77,184.81,84282.420335
2025-10-18 04:00:00+00:00,2025-10-18 04:00:00+00:00,184.81,188.27,183.14,186.28,165177.257562
2025-10-18 08:00:00+00:00,2025-10-18 08:00:00+00:00,186.27,187.16,184.36,186.09,129374.360956
2025-10-18 12:00:00+00:00,2025-10-18 12:00:00+00:00,186.11,187.35,183.96,185.03,96627.127983
2025-10-18 16:00:00+00:00,2025-10-18 16:00:00+00:00,185.03,186.42,183.26,186.36,100253.191198
2025-10-18 20:00:00+00:00,2025-10-18 20:00:00+00:00,186.36,187.86,185.89,187.57,49647.927762
2025-10-19 00:00:00+00:00,2025-10-19 00:00:00+00:00,187.56,187.87,184.92,187.04,66704.308621
2025-10-19 04:00:00+00:00,2025-10-19 04:00:00+00:00,187.04,187.67,185.17,185.91,51550.815143
2025-10-19 08:00:00+00:00,2025-10-19 08:00:00+00:00,185.91,190.09,183.18,189.01,286439.725814
2025-10-19 12:00:00+00:00,2025-10-19 12:00:00+00:00,189.02,191.73,188.15,190.78,191347.749326
2025-10-19 16:00:00+00:00,2025-10-19 16:00:00+00:00,190.78,192.29,188.32,188.89,151363.41578
2025-10-19 20:00:00+00:00,2025-10-19 20:00:00+00:00,188.9,190.16,186.83,187.86,99226.461484
2025-10-20 00:00:00+00:00,2025-10-20 00:00:00+00:00,187.88,191.75,183.83,191.21,211104.648515
2025-10-20 04:00:00+00:00,2025-10-20 04:00:00+00:00,191.22,194.5,190.6,193.01,194103.116934
2025-10-20 08:00:00+00:00,2025-10-20 08:00:00+00:00,193.0,194.14,191.02,192.23,110990.872232
2025-10-20 12:00:00+00:00,2025-10-20 12:00:00+00:00,192.23,193.03,190.4,190.54,142579.398786
2025-10-20 16:00:00+00:00,2025-10-20 16:00:00+00:00,190.54,190.54,185.51,188.84,218528.277238
2025-10-20 20:00:00+00:00,2025-10-20 20:00:00+00:00,188.84,191.2,188.23,189.72,81755.675338
2025-10-21 00:00:00+00:00,2025-10-21 00:00:00+00:00,189.71,190.28,185.31,185.59,171526.87573
2025-10-21 04:00:00+00:00,2025-10-21 04:00:00+00:00,185.58,185.64,182.74,184.99,194158.924984
2025-10-21 08:00:00+00:00,2025-10-21 08:00:00+00:00,185.0,186.72,183.75,186.25,90933.502529
2025-10-21 12:00:00+00:00,2025-10-21 12:00:00+00:00,186.27,197.16,183.92,196.28,476632.425105
2025-10-21 16:00:00+00:00,2025-10-21 16:00:00+00:00,196.26,197.74,192.14,193.97,370294.985099
2025-10-21 20:00:00+00:00,2025-10-21 20:00:00+00:00,193.99,194.24,185.11,185.66,283382.293296
2025-10-22 00:00:00+00:00,2025-10-22 00:00:00+00:00,185.66,187.47,184.16,185.23,184792.639322
2025-10-22 04:00:00+00:00,2025-10-22 04:00:00+00:00,185.24,186.27,183.25,185.0,212953.000845
2025-10-22 08:00:00+00:00,2025-10-22 08:00:00+00:00,184.99,186.0,181.89,185.08,183789.18228
2025-10-22 12:00:00+00:00,2025-10-22 12:00:00+00:00,185.1,186.92,181.29,183.98,334510.036398
2025-10-22 16:00:00+00:00,2025-10-22 16:00:00+00:00,183.99,184.98,176.97,180.17,340152.502745
2025-10-22 20:00:00+00:00,2025-10-22 20:00:00+00:00,180.18,180.76,176.98,180.1,229607.479193
2025-10-23 00:00:00+00:00,2025-10-23 00:00:00+00:00,180.11,183.37,179.68,182.89,106961.055612
2025-10-23 04:00:00+00:00,2025-10-23 04:00:00+00:00,182.89,187.99,182.67,187.47,188301.385182
2025-10-23 08:00:00+00:00,2025-10-23 08:00:00+00:00,187.48,189.5,187.42,187.97,180318.145808
2025-10-23 12:00:00+00:00,2025-10-23 12:00:00+00:00,187.97,192.61,186.66,191.03,363985.254646
2025-10-23 16:00:00+00:00,2025-10-23 16:00:00+00:00,191.04,193.45,190.08,191.16,169119.199462
2025-10-23 20:00:00+00:00,2025-10-23 20:00:00+00:00,191.15,191.51,188.32,191.34,116533.834257
2025-10-24 00:00:00+00:00,2025-10-24 00:00:00+00:00,191.35,193.92,190.8,191.32,116227.836523
2025-10-24 04:00:00+00:00,2025-10-24 04:00:00+00:00,191.31,194.65,190.79,192.18,143368.016966
2025-10-24 08:00:00+00:00,2025-10-24 08:00:00+00:00,192.18,193.48,190.6,192.14,106342.704729
2025-10-24 12:00:00+00:00,2025-10-24 12:00:00+00:00,192.15,196.88,188.83,189.45,420882.132272
